LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,BsmtFinSF1,TotalBsmtSF,1stFlrSF,GrLivArea,FullBath,TotRmsAbvGrd,GarageCars,GarageArea,SalePrice
8450,7,5,2003,2003,196.0,706,856,856,1710,2,8,2,548,208500
9600,6,8,1976,1976,0.0,978,1262,1262,1262,2,6,2,460,181500
11250,7,5,2001,2002,162.0,486,920,920,1786,2,6,2,608,223500
9550,7,5,1915,1970,0.0,216,756,961,1717,1,7,3,642,140000
14260,8,5,2000,2000,350.0,655,1145,1145,2198,2,9,3,836,250000
14115,5,5,1993,1995,0.0,732,796,796,1362,1,5,2,480,143000
10084,8,5,2004,2005,186.0,1369,1686,1694,1694,2,7,2,636,307000
10382,7,6,1973,1973,240.0,859,1107,1107,2090,2,7,2,484,200000
6120,7,5,1931,1950,0.0,0,952,1022,1774,2,8,2,468,129900
7420,5,6,1939,1950,0.0,851,991,1077,1077,1,5,1,205,118000
11200,5,5,1965,1965,0.0,906,1040,1040,1040,1,5,1,384,129500
11924,9,5,2005,2006,286.0,998,1175,1182,2324,3,11,3,736,345000
12968,5,6,1962,1962,0.0,737,912,912,912,1,4,1,352,144000
10652,7,5,2006,2007,306.0,0,1494,1494,1494,2,7,3,840,279500
10920,6,5,1960,1960,212.0,733,1253,1253,1253,1,5,1,352,157000
6120,7,8,1929,2001,0.0,0,832,854,854,1,5,2,576,132000
11241,6,7,1970,1970,180.0,578,1004,1004,1004,1,5,2,480,149000
10791,4,5,1967,1967,0.0,0,0,1296,1296,2,6,2,516,90000
13695,5,5,2004,2004,0.0,646,1114,1114,1114,1,6,2,576,159000
7560,5,6,1958,1965,0.0,504,1029,1339,1339,1,6,1,294,139000
14215,8,5,2005,2006,380.0,0,1158,1158,2376,3,9,3,853,325300
7449,7,7,1930,1950,0.0,0,637,1108,1108,1,6,1,280,139400
9742,8,5,2002,2002,281.0,0,1777,1795,1795,2,7,2,534,230000
4224,5,7,1976,1976,0.0,840,1040,1060,1060,1,6,2,572,129900
8246,5,8,1968,2001,0.0,188,1060,1060,1060,1,6,1,270,154000
14230,8,5,2007,2007,640.0,0,1566,1600,1600,2,7,3,890,256300
7200,5,7,1951,2000,0.0,234,900,900,900,1,5,2,576,134800
11478,8,5,2007,2008,200.0,1218,1704,1704,1704,2,7,3,772,306000
16321,5,6,1957,1997,0.0,1277,1484,1600,1600,1,6,1,319,207500
6324,4,6,1927,1950,0.0,0,520,520,520,1,4,1,240,68500
8500,4,4,1920,1950,0.0,0,649,649,1317,1,6,1,250,40000
8544,5,6,1966,2006,0.0,0,1228,1228,1228,1,6,1,271,149350
11049,8,5,2007,2007,0.0,0,1234,1234,1234,2,7,2,484,179900
10552,5,5,1959,1959,0.0,1018,1398,1700,1700,1,6,2,447,165500
7313,9,5,2005,2005,246.0,1153,1561,1561,1561,2,6,2,556,277500
13418,8,5,2004,2005,132.0,0,1117,1132,2452,3,9,3,691,309000
10859,5,5,1994,1995,0.0,0,1097,1097,1097,1,6,2,672,145000
8532,5,6,1954,1990,650.0,1213,1297,1297,1297,1,5,2,498,153000
7922,5,7,1953,2007,0.0,731,1057,1057,1057,1,5,1,246,109000
6040,4,5,1955,1955,0.0,0,0,1152,1152,2,6,0,0,82000
8658,6,5,1965,1965,101.0,643,1088,1324,1324,2,6,2,440,160000
16905,5,6,1959,1959,0.0,967,1350,1328,1328,1,5,1,308,170000
9180,5,7,1983,1983,0.0,747,840,884,884,1,5,2,504,144000
9200,5,6,1975,1980,0.0,280,938,938,938,1,5,1,308,130250
7945,5,6,1959,1959,0.0,179,1150,1150,1150,1,6,1,300,141000
7658,9,5,2005,2005,412.0,456,1752,1752,1752,2,6,2,576,319900
12822,7,5,2003,2003,0.0,1351,1434,1518,2149,1,6,2,670,239686
11096,8,5,2006,2006,0.0,24,1656,1656,1656,2,7,3,826,249700
4456,4,5,1920,2008,0.0,0,736,736,1452,2,8,0,0,113000
7742,5,7,1966,1966,0.0,763,955,955,955,1,6,1,386,127000
13869,6,6,1997,1997,0.0,182,794,794,1470,2,6,2,388,177000
6240,6,6,1934,1950,0.0,0,816,816,1176,1,6,2,528,114500
8472,5,5,1963,1963,0.0,104,816,816,816,1,5,2,516,110000
50271,9,5,1981,1987,0.0,1810,1842,1842,1842,0,5,3,894,385000
7134,5,5,1955,1955,0.0,384,384,1360,1360,1,6,2,572,130000
10175,6,5,1964,1964,272.0,490,1425,1425,1425,2,7,2,576,180500
2645,8,5,1999,2000,456.0,649,970,983,1739,2,7,2,480,172500
11645,7,5,2004,2004,0.0,0,860,860,1720,2,7,2,565,196500
13682,10,5,2006,2006,1031.0,0,1410,1426,2945,3,10,3,641,438780
7200,5,7,1972,1972,0.0,632,780,780,780,1,4,1,352,124900
13072,6,5,2004,2004,0.0,941,1158,1158,1158,1,5,2,576,158000
7200,5,7,1920,1996,0.0,0,530,581,1111,1,6,1,288,101000
6442,8,5,2006,2006,178.0,24,1370,1370,1370,2,6,2,484,202500
10300,7,6,1921,1950,0.0,0,576,902,1710,2,9,2,480,140000
9375,7,5,1997,1998,573.0,739,1057,1057,2034,2,8,2,645,219500
9591,8,5,2004,2005,344.0,0,1143,1143,2473,2,9,3,852,317000
19900,7,5,1970,1989,287.0,912,1947,2207,2207,2,7,2,576,180000
10665,7,5,2003,2003,167.0,1013,1453,1479,1479,2,7,2,558,226000
4608,4,6,1945,1950,0.0,0,747,747,747,1,4,1,220,80000
15593,7,4,1953,1953,0.0,603,1304,1304,2287,2,7,2,667,225000
13651,7,6,1973,1973,1115.0,1880,2223,2223,2223,2,8,2,516,244000
7599,4,6,1982,2006,0.0,565,845,845,845,1,4,2,360,129500
10141,7,5,1998,1998,40.0,0,832,885,1718,2,7,2,427,185000
10200,5,7,1954,2003,104.0,320,1086,1086,1086,1,6,2,490,144900
5790,3,6,1915,1950,0.0,0,840,840,1605,2,8,1,379,107400
1596,4,5,1973,1973,0.0,462,462,526,988,1,5,1,297,91000
8475,4,7,1956,1956,0.0,228,952,952,952,1,4,1,283,135750
8635,5,5,1948,2001,0.0,336,672,1072,1285,1,6,1,240,127000
10778,4,5,1968,1968,0.0,0,1768,1768,1768,2,8,0,0,136500
10440,5,6,1910,1981,0.0,0,440,682,1230,1,5,2,440,110000
13000,6,6,1968,1968,576.0,448,896,1182,2142,2,8,1,509,193500
4500,6,5,1998,1998,443.0,1201,1237,1337,1337,2,5,2,405,153500
10206,8,5,2007,2007,468.0,33,1563,1563,1563,2,6,3,758,245000
8892,5,5,1960,1960,66.0,0,1065,1065,1065,1,6,2,461,126500
8530,7,5,1995,1996,22.0,0,384,804,1474,2,7,2,400,168500
16059,8,5,1991,1992,284.0,0,1288,1301,2417,2,9,2,462,260000
11911,6,5,2005,2005,0.0,0,684,684,1560,2,6,2,400,174000
3951,6,5,2009,2009,76.0,0,612,612,1224,2,4,2,528,164500
8470,3,2,1915,1982,0.0,0,1013,1013,1526,1,6,0,0,85000
8070,4,5,1994,1995,0.0,588,990,990,990,1,5,0,0,123600
7200,4,5,1950,1950,0.0,0,0,1040,1040,1,4,2,420,109900
8500,5,3,1961,1961,203.0,600,1235,1235,1235,1,6,2,480,98600
13360,5,7,1921,2006,0.0,713,876,964,964,1,5,2,432,163500
7200,6,6,1910,1998,0.0,1046,1214,1260,2291,2,9,2,506,133900
9337,6,5,1997,1997,0.0,648,824,905,1786,2,7,2,684,204750
9765,6,8,1993,1993,68.0,310,680,680,1470,2,6,2,420,185000
10264,7,5,1999,1999,183.0,1162,1588,1588,1588,2,6,2,472,214000
10921,4,5,1965,1965,48.0,520,960,960,960,1,6,1,432,94750
